tarsuslength,winglength,billdepth,billlength,bodymass
1,-0.018,0.296,0.128,0.362
-0.018,1,0.088,0.245,-0.057
0.296,0.088,1,0.1,-0.128
0.128,0.245,0.1,1,-0.141
0.362,-0.057,-0.128,-0.141,1
