"maleweight","malelength","malewidth","femaleweight","femalelength","femalewidth"
1,1.16094906396819,1.35047715502911,1.94717914120132,3.94231533749703,1.95905218474523
1.16094906396819,1,1.03619542288163,1.84385598083169,5.30071325159263,1.39686059153916
1.35047715502911,1.03619542288163,1,1.79351488763654,3.12771621085612,1.8462653255082
1.94717914120132,1.84385598083169,1.79351488763654,1,-0.0632455532033676,0.72
3.94231533749703,5.30071325159263,3.12771621085612,-0.0632455532033676,1,2.21359436211787
1.95905218474523,1.39686059153916,1.8462653255082,0.72,2.21359436211787,1
