12:Ac,Z5-12:Ac,Z7-12:Ac,11-12:Ac,Z7-14:Ac,Z9-14:Ac
1,-0.61,0.32,0.67,0.58,0.83
-0.61,1,0.02,-0.45,0.68,0.23
0.32,0.02,1,0.53,0.01,0.86
0.67,-0.45,0.53,1,-0.06,0.93
0.58,0.68,0.01,-0.06,1,0.35
0.83,0.23,0.86,0.93,0.35,1
