AVERAGE.NUMBER.OF.GAMETANGIAL.BUDS.IN.SAMPLE.OF.10,AVERAGE.LENGTH.OF.LEAVES,DRY.WEIGHT
1.0000000,-0.4704290,0.1663438
-0.4704290,1.0000000,0.2794727
0.1663438,0.2794727,1.0000000
