12:Ac,Z5-12:Ac,Z7-12:Ac,11-12:Ac,Z7-14:Ac,Z9-14:Ac
1,0.27,0.73,0.74,1.1,0.89
0.27,1,0.98,0.92,1.6,-0.03
0.73,0.98,1,0.88,1.22,0.59
0.74,0.92,0.88,1,1.31,0.73
1.1,1.6,1.22,1.31,1,0.53
0.89,-0.03,0.59,0.73,0.53,1
