ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
1,0.227713031,0.177760002,0.615519179,0.212355342,-0.670204125
0.227713031,1,0.095859589,0.291670989,-0.130316753,-0.127155106
0.177760002,0.095859589,1,-0.158145515,-0.034087333,-0.868926165
0.615519179,0.291670989,-0.158145515,1,-0.852278969,1.327880004
0.212355342,-0.130316753,-0.034087333,-0.852278969,1,1.341640786
-0.670204125,-0.127155106,-0.868926165,1.327880004,1.341640786,1
