leaf.mass.per.area,stomatal.density,stomatal.length,veg.biomass
1,-0.1566,0.0706,0.3689
-0.1566,1,-0.4331,-0.3697
0.0706,-0.4331,1,0.6009
0.3689,-0.3697,0.6009,1
