lambweightjune,lambweightseptember,weightjune,weightseptember,fecundity
1,0.85,0.37,0.46,0.22
0.85,1,0.39,0.52,0.38
0.37,0.39,1,0.9,0.59
0.46,0.52,0.9,1,0.45
0.22,0.38,0.59,0.45,1
