"growthrate11C","growthrate23C","growthrate35C","growthrate40C"
1,0.437626018613008,0.0725506832779083,0.137907706010524
0.437626018613008,1,0.43242237826189,0.505847178445368
0.0725506832779083,0.43242237826189,1,0.832022397653345
0.137907706010524,0.505847178445368,0.832022397653345,1
