spikelet.sterility,shoot.dry.matter.at.maturity,days.to.flowering,flowering.delay.under.stress
1,-0.00187665,0.02472229,0.149240501
-0.00187665,1,-0.00325299,-0.009469108
0.02472229,-0.00325299,1,0.352599078
0.1492405,-0.009469108,0.35259908,1
