beaklength,beakheight,meanwinglength,tarsuslength
1,0.36041501,-0.108424937,-0.036309179
0.36041501,1,0.200150401,1.463142684
-0.108424937,0.200150401,1,0.088482226
-0.036309179,1.463142684,0.088482226,1
