beaklength,beakheight,meanwinglength,tarsuslength
1,0.902166969,0.859280559,-0.301852917
0.902166969,1,1.295679516,1.212380361
0.859280559,1.295679516,1,0.010898101
-0.301852917,1.212380361,0.010898101,1
