songduration,longchirpduartion,longchirppulseduration,shortchirppulseduration,shortchirptotalduration,shortchirpchirpduration,shortchirpchirpinterval,shortchirppulseduartion,shortchirppulseinterval
1,0.321,-0.576,0.61,0.915,-0.642,0.585,-0.576,0.197
0.321,1,-0.218,0.704,0.197,-0.084,0.489,0.108,0.679
-0.576,-0.218,1,-0.702,-0.444,0.699,-0.295,0.833,-0.213
0.61,0.704,-0.702,1,0.377,-0.604,0.729,0.399,0.576
0.915,0.197,-0.444,0.377,1,-0.342,0.327,-0.444,0.079
-0.642,-0.084,0.699,-0.604,-0.342,1,-0.632,0.593,-0.079
0.585,0.489,-0.295,0.729,0.327,-0.632,1,-0.295,0.623
-0.576,0.108,0.833,0.399,-0.444,0.593,-0.295,1,0.012
0.197,0.679,-0.213,0.576,0.079,-0.079,0.623,0.012,1
