age.at.first.reproduction.selfing,age.at.first.reproduction.outcrossing,logearly.survival.selfing,logearly.survival.outcrossing
1,0.2111501,-0.230281,0.000587423
0.211150136,1,-0.111336,-0.243870726
-0.230281394,-0.111336,1,0.372032957
0.000587423,-0.24387,0.372033,1
