mass.at.hatching,mass.at.72hrs,mass.at.dispersal,mass.at.emergence,hatching.to.dispersal,wandering.stage,in.pupal.chamber,hatching.to.emergence
1,0.26,0.06,-0.01,-0.15,0.18,0.09,0.09
0.26,1,0.55,0.42,-0.46,0.01,0.2,-0.01
0.06,0.55,1,0.85,0.17,0.09,0.42,0.42
-0.01,0.42,0.85,1,0.16,-0.04,0.24,0.3
-0.15,-0.46,0.17,0.16,1,-0.16,0.5,0.49
0.18,0.01,0.09,-0.04,-0.16,1,-0.07,0.52
0.09,0.2,0.42,0.24,0.5,-0.07,1,0.65
0.09,-0.01,0.42,0.3,0.49,0.52,0.65,1
