"X2.ME.C24","C25.1..A.","C25.1.B.","C25H48.B.","X11.C27.2","C27.1","C27H50.A.","X2.ME.C28","X2.ME.C30"
1,0.974169578353615,-0.205318220135953,-0.312987916617706,-0.67401916706282,-0.430086575518752,-0.62727982921967,-0.579210334050172,0.844081784017303
0.974169578353615,1,-0.416324573825933,-0.091335047487058,-0.552915732480672,-0.363828036828874,-0.789830044918771,-0.376514478695621,0.697012703201077
-0.205318220135953,-0.416324573825933,1,-0.860714936656068,-0.104858811600983,-0.390877672569072,0.873187806218232,-0.666147941778056,0.332468749406265
-0.312987916617706,-0.091335047487058,-0.860714936656068,1,0.484832232235746,0.556748957386783,-0.532484786785256,0.948962213122156,-0.761462518303881
-0.67401916706282,-0.552915732480672,-0.104858811600983,0.484832232235746,1,-0.114848584060693,0.115365223989862,0.695063506820906,-0.798915936521807
-0.430086575518752,-0.363828036828874,-0.390877672569072,0.556748957386783,-0.114848584060693,1,0.0261549215456131,0.529895684980655,-0.508759296852544
-0.62727982921967,-0.789830044918771,0.873187806218232,-0.532484786785256,0.115365223989862,0.0261549215456131,1,-0.271265652690814,-0.110565536219251
-0.579210334050172,-0.376514478695621,-0.666147941778056,0.948962213122156,0.695063506820906,0.529895684980655,-0.271265652690814,1,-0.924907061976702
0.844081784017303,0.697012703201077,0.332468749406265,-0.761462518303881,-0.798915936521807,-0.508759296852544,-0.110565536219251,-0.924907061976702,1
