mass.at.hatching,mass.at.72hrs,mass.at.dispersal,mass.at.emergence,hatching.to.dispersal,wandering.stage,in.pupal.chamber,hatching.to.emergence
1,0.19,0.16,0.03,-0.22,0.11,0.22,0.13
0.19,1,0.52,0.44,-0.42,0.08,-0.03,-0.35
0.16,0.52,1,0.84,-0.53,0.01,0.39,-0.08
0.03,0.44,0.84,1,-0.36,0.15,0.25,0.01
-0.22,-0.42,-0.53,-0.36,1,0.05,-0.18,0.3
0.11,0.08,0.01,0.15,0.05,1,-0.28,0.51
0.22,-0.03,0.39,0.25,-0.18,-0.28,1,0.43
0.13,-0.35,-0.08,0.01,0.3,0.51,0.43,1
