flowernumber,corolladiameter,pistillength,antherlength,antherwidth
1,0.09,0.1,0.06,0.02
0.13,1,0.33,0.31,0.1
0.24,0.44,1,0.22,0.08
0.11,0.26,0.23,1,0.14
0.13,0.3,0.27,-0.04,1
