bulb.mass,offset.mass,bulbil.mass,no..offsets,no..bulbils
1,0.722,-0.491,0.251,0.444
0.722,1,-0.207,0.593,0.342
-0.491,-0.207,1,-0.804,0.225
0.251,0.593,-0.804,1,-0.257
0.444,0.342,0.225,-0.257,1
