tarsuslength,winglength,billdepth,billlength,bodymass
1,-0.235,-0.164,0.691,-0.034
-0.235,1,-0.485,0.102,-0.389
-0.164,-0.485,1,-0.227,-0.362
0.691,0.102,-0.227,1,-0.075
-0.034,-0.389,-0.362,-0.075,1
