tail.length,tail.depth,muscle.depth,muscle.width,body.length,body.depth,body.width,mass
1,0.065,0.098,0.06,-0.09,-0.441,-0.699,0.028
0.065,1,0.443,-0.053,-0.727,-0.363,-0.423,0.76
0.098,0.443,1,0.388,-0.156,-0.284,-0.425,0.447
0.06,-0.053,0.388,1,0.218,0.08,-0.336,0.028
-0.09,-0.727,-0.156,0.218,1,0.336,0.223,-0.674
-0.441,-0.363,-0.284,0.08,0.336,1,0.572,-0.332
-0.699,-0.423,-0.425,-0.336,0.223,0.572,1,-0.345
0.028,0.76,0.447,0.028,-0.674,-0.332,-0.345,1
