head.length,head.width,antenna.length,foretibia.length,midtibia.length,wing-vein.length,intersetal.width
1,-0.39,0.89,0.09,0.29,-0.18,0.2
-0.39,1,-0.56,-0.17,-0.3,0.15,0.33
0.89,-0.56,1,0,0.22,-0.12,-0.1
0.09,-0.17,0,1,0.81,-0.1,0.08
0.29,-0.3,0.22,0.81,1,-0.18,-0.03
-0.18,0.15,-0.12,-0.1,-0.18,1,-0.33
0.2,0.33,-0.1,0.08,-0.03,-0.33,1
