ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
1,0.215412898,0.189370275,0.363965485,0.508850818,0.877088453
0.215412898,1,-0.468352034,0.544097053,0.386958072,-0.220944729
0.189370275,-0.468352034,1,0.723712879,1.08704117,-1.326749385
0.363965485,0.544097053,0.723712879,1,1.524944578,0.939585088
0.508850818,0.386958072,1.08704117,1.524944578,1,0.399818649
0.877088453,-0.220944729,-1.326749385,0.939585088,0.399818649,1
