tail.length,tail.depth,muscle.depth,muscle.width,body.length,body.depth,body.width,mass
1,0.256,-0.065,-0.048,0.18,-0.47,-0.102,0.06
0.256,1,0.65,0.291,-0.343,-0.435,-0.448,0.244
-0.065,0.65,1,0.376,-0.277,-0.368,-0.263,0.033
-0.048,0.291,0.376,1,-0.144,-0.36,-0.082,0.394
0.18,-0.343,-0.277,-0.144,1,-0.041,-0.163,-0.382
-0.47,-0.435,-0.368,-0.36,-0.041,1,0.403,-0.489
-0.102,-0.448,-0.263,-0.082,-0.163,0.403,1,0.202
0.06,0.244,0.033,0.394,-0.382,-0.489,0.202,1
