bulb.mass,offset.mass,bulbil.mass,no..offsets,no..bulbils
1,0.78,-0.614,0.787,0.157
0.78,1,-0.41,0.89,0.489
-0.614,-0.41,1,-0.63,0.331
0.787,0.89,-0.63,1,0.248
0.157,0.489,0.331,0.248,1
