lobeloength,lobewidth,corollalength,corollawidth,stigmatonectary,stigmaexsertion
1,0.289,0.297,0.21,0.287,0.172
0.289,1,0.118,0.632,0.466,0.471
0.297,0.118,1,0.039,0.696,-0.178
0.21,0.632,0.039,1,0.158,0.067
0.287,0.466,0.696,0.158,1,0.561
0.172,0.471,-0.178,0.067,0.561,1
