ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,-0.306,-0.332,0.029,0.043,-0.543,0,0,0.326,0.29
-0.306,1,0.123,0.345,-0.225,0.293,0.386,-0.1,0.19,-0.222
-0.332,0.123,1,0.029,0.067,0.09,0.123,0.199,0.005,0.016
0.029,0.345,0.029,1,0.492,-0.367,0,0.444,0.539,0.388
0.043,-0.225,0.067,0.492,1,-0.168,0.425,0,0.263,0.247
-0.543,0.293,0.09,-0.367,-0.168,1,-0.246,0.05,-0.406,-0.273
0,0.386,0.123,0,0.425,-0.246,1,0.425,0.526,0.413
0,-0.1,0.199,0.444,0,0.05,0.425,1,0.184,0.186
0.326,0.19,0.005,0.539,0.263,-0.406,0.526,0.184,1,0.736
0.29,-0.222,0.016,0.388,0.247,-0.273,0.413,0.186,0.736,1
