head,flagellum.direct,flagellumindirect,mid-piece.direct,mid-piece.indirect
1,0.127,0.447,-0.185,0.054
0.127,1,0.258,-0.505,-0.284
0.447,0.258,1,0.036,0.195
-0.185,-0.505,0.036,1,0.195
0.054,-0.284,0.195,0.195,1
