head.length,head.width,antenna.length,foretibia.length,midtibia.length,wing-vein.length,intersetal.width
1,-0.39,0.46,0.02,0.28,0.36,-0.24
-0.39,1,0.37,-0.87,-0.24,-0.54,-0.16
0.46,0.37,1,-0.21,0.34,0.34,-1.49
0.02,-0.87,-0.21,1,0.78,-0.05,-0.62
0.28,-0.24,0.34,0.78,1,0.16,0.23
0.36,-0.54,0.34,-0.05,0.16,1,-0.41
-0.24,-0.16,-1.49,-0.62,0.23,-0.41,1
