ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,-0.004,-0.424,-0.305,0.093,-0.371,0,0,-0.083,0.457
-0.004,1,-0.058,0.192,-0.479,0.461,0.189,-0.504,0.12,-0.35
-0.424,-0.058,1,0.513,0.31,0.478,0.672,0.371,0.46,-0.337
-0.305,0.192,0.513,1,0.435,0.243,0,0.57,0.137,-0.584
0.093,-0.479,0.31,0.435,1,-0.179,0.393,0,0.265,-0.268
-0.371,0.461,0.478,0.243,-0.179,1,0.404,-0.125,0.362,-0.189
0,0.189,0.672,0,0.393,0.404,1,0.582,0.142,-0.607
0,-0.504,0.371,0.57,0,-0.125,0.582,1,0.133,-0.343
-0.083,0.12,0.46,0.137,0.265,0.362,0.142,0.133,1,-0.289
0.457,-0.35,-0.337,-0.584,-0.268,-0.189,-0.607,-0.343,-0.289,1
