petal length,petal width,stamen length,style length,stigma size
1,0.305,0.205,0.43,-0.115
0.305,1,0.045,0.25,-0.03
0.205,0.045,1,0.16,-0.41
0.43,0.25,0.16,1,-0.035
-0.115,-0.03,-0.41,-0.035,1
