beakwidth,beakdepth,beaklength,tarsuslength,winglength,taillength,X1stprimarylength
1,0.638,0.267,0.026,0.063,0.211,0.03
0.638,1,0.314,0,0.083,0.075,-0.138
0.267,0.314,1,0.315,0.199,0.168,0.038
0.026,0,0.315,1,0.363,0.159,0.439
0.063,0.083,0.199,0.363,1,0.605,0.428
0.211,0.075,0.168,0.159,0.605,1,0.369
0.03,-0.138,0.038,0.439,0.428,0.369,1
