corolladiameter,corollatubelength,corollatubewidth,stigmaheight,tallestantherheight,shortestantherheight,flower.number
1,0.471,0.572,0.325,0.3,0.152,0.069
0.471,1,0.425,0.598,0.685,0.559,-0.061
0.572,0.425,1,0.252,0.591,0.632,-0.116
0.325,0.598,0.252,1,0.375,0.273,0.116
0.3,0.685,0.591,0.375,1,0.928,-0.095
0.152,0.559,0.632,0.273,0.928,1,-0.025
0.069,-0.061,-0.116,0.116,-0.095,-0.025,1
