chlorophyll.concentration,Rosette.size,specific.leaf.area,light-saturated.photosynthetic.rate,Stomatal.conductance,water.use.efficiency
1,-0.473,-0.023,0.772,-0.253,0.532
-0.473,1,-0.107,-0.177,0.708,-0.833
-0.023,-0.107,1,0.149,0.49,-0.351
0.772,-0.177,0.149,1,0.277,0.177
-0.253,0.708,0.49,0.277,1,-0.889
0.532,-0.833,-0.351,0.177,-0.889,1
