branches,height,branch.length,branch.angle,silique.length
1,-0.05,0.46,-0.11,-0.73
-0.05,1,0.9,0.55,-0.25
0.46,0.9,1,0.11,-0.36
-0.11,0.55,0.11,1,0.51
-0.73,-0.25,-0.36,0.51,1
