days.to.emerge,days.to.flower,seed.size,number.of.leaves,length.of.longest.leaf,relative.change.in.leaf.length,relative.change.in.leaf.width
1,0.104,0.221,-0.164,-0.237,0.152,0.321
0.104,1,-0.01,-0.075,-0.156,-0.002,0.329
0.221,-0.01,1,0.178,0.111,-0.166,0.169
-0.164,-0.075,0.178,1,0.271,-0.64,-0.222
-0.237,-0.156,0.111,0.271,1,-0.268,-0.368
0.152,-0.002,-0.166,-0.64,-0.268,1,0.182
0.321,0.329,0.169,-0.222,-0.368,0.182,1
