leaf.mass.per.area,stomatal.density,stomatal.length,veg.biomass
1,0.2073,-0.1403,0.3509
0.2073,1,-0.6673,-0.3458
-0.1403,-0.6673,1,0.3562
0.3509,-0.3458,0.3562,1
