days.to.emerge,days.to.flower,seed.size,number.of.leaves,length.of.longest.leaf,relative.change.in.leaf.length,relative.change.in.leaf.width
1,0.105,0.426,-0.23,-0.27,0.104,0.212
0.105,1,0.012,0.025,-0.045,-0.342,-0.001
0.426,0.012,1,0.052,0.068,0.096,0.093
-0.23,0.025,0.052,1,-0.026,-0.462,0.11
-0.27,-0.045,0.068,-0.026,1,-0.048,-0.356
0.104,-0.342,0.096,-0.462,-0.048,1,0.123
0.212,-0.001,0.093,0.11,-0.356,0.123,1
