ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,0.432,0.094,-0.187,-0.05,-0.113,0,0,0.401,0.361
0.432,1,0.566,-0.226,-0.432,-0.44,-0.475,-0.579,0.17,-0.121
0.094,0.566,1,-0.044,-0.164,-0.156,-0.083,-0.151,-0.077,-0.139
-0.187,-0.226,-0.044,1,0.386,-0.209,0,0.356,-0.326,-0.056
-0.05,-0.432,-0.164,0.386,1,0.009,0.325,0,-0.172,0.05
-0.113,-0.44,-0.156,-0.209,0.009,1,-0.089,0.141,-0.022,-0.189
0,-0.475,-0.083,0,0.325,-0.089,1,0.568,-0.457,-0.25
0,-0.579,-0.151,0.356,0,0.141,0.568,1,-0.317,-0.243
0.401,0.17,-0.077,-0.326,-0.172,-0.022,-0.457,-0.317,1,0.458
0.361,-0.121,-0.139,-0.056,0.05,-0.189,-0.25,-0.243,0.458,1
