"gynoeciumlength","corollalength","corollawidth","stigmaexsertion"
1,0.500000000197113,-0.54499999992637,0.259999999944508
0.500000000197113,1,-0.170000000658061,-0.404999999859339
-0.54499999992637,-0.170000000658061,1,-0.164999999313903
0.259999999944508,-0.404999999859339,-0.164999999313903,1
