interLMdistanceA,interLMdistanceB,interLMdistanceC,interLMdistanceD,interLMdistanceE,interLMdistanceF,interLMdistanceG,interLMdistanceH,interLMdistanceI,interLMdistanceJ
1,0.185594408,0.495635052,0.072065447,0.418493481,-0.246598481,0.255107831,-0.249153974,-0.969954025,-0.633726086
0.185594408,1,0.212003926,-0.429413549,0.753244587,0.593731827,0.277224629,0.591435573,-0.234147763,-0.367239887
0.495635052,0.212003926,1,0.562097176,0.590349339,-0.041111323,0.734608176,0.13845786,-0.534447194,-0.621868412
0.072065447,-0.429413549,0.562097176,1,-0.107909278,-0.281800931,0.304776145,-0.533287375,-0.263014202,-0.067224556
0.418493481,0.753244587,0.590349339,-0.107909278,1,0.046995627,0.85080276,0,-1.519525273,-1.047205984
-0.246598481,0.593731827,-0.041111323,-0.281800931,0.046995627,1,0.578383405,-0.476313972,-0.76,-0.107349008
0.255107831,0.277224629,0.734608176,0.304776145,0.85080276,0.578383405,1,0.050903935,-0.493741931,-0.309756077
-0.249153974,0.591435573,0.13845786,-0.533287375,0,-0.476313972,0.050903935,1,-0.028867513,-0.507092553
-0.969954025,-0.234147763,-0.534447194,-0.263014202,-1.519525273,-0.76,-0.493741931,-0.028867513,1,0.878310066
-0.633726086,-0.367239887,-0.621868412,-0.067224556,-1.047205984,-0.107349008,-0.309756077,-0.507092553,0.878310066,1
