nut.mass,kernal.mass,kernal.recovery,percentage.1st.grade.kernal,percentage.whole.kernals
1,0.79,-0.17,0.4,0.03
0.79,1,0.48,0.41,0.08
-0.17,0.48,1,0.13,0.14
0.4,0.41,0.13,1,0.01
0.03,0.08,0.14,0.01,1
