"petallength","petalwidth","corollatubelength","shortfilamentlength","longfilamentlength","pistillength"
1,0.474716882268175,0.410826937911455,0.430026216050191,0.393206749034104,0.346892142105092
0.474716882268175,1,0.300741281786054,0.266142658459968,0.203475458915856,0.210325569236507
0.410826937911455,0.300741281786054,1,0.758771809307533,0.819967913688943,0.379987755226094
0.430026216050191,0.266142658459968,0.758771809307533,1,0.904843283908112,0.326874745073078
0.393206749034104,0.203475458915856,0.819967913688943,0.904843283908112,1,0.365274952447642
0.346892142105092,0.210325569236507,0.379987755226094,0.326874745073078,0.365274952447642,1
