face.width,head.width,eye.length,thorax.length,scutellum.width,wing.length,wing.width
1,0.349,0.203,0.233,0.11,0.093,0.122
0.349,1,0.301,0.289,0.173,0.255,0.135
0.203,0.301,1,0.291,0.191,0.266,0.104
0.233,0.289,0.291,1,0.479,0.411,0.309
0.11,0.173,0.191,0.479,1,0.283,0.212
0.093,0.255,0.266,0.411,0.283,1,0.389
0.122,0.135,0.104,0.309,0.212,0.389,1
