tube.length,throat.width,corolla.width,style.length,stamen.length,stigma-anther.distance,corolla.length
1,0.91,0.93,0.89,0.94,0.21,0.98
0.91,1,0.96,0.93,0.92,0.36,0.94
0.93,0.96,1,0.93,0.96,0.28,0.97
0.89,0.93,0.93,1,0.93,0.53,0.9
0.94,0.92,0.96,0.93,1,0.2,0.95
0.21,0.36,0.28,0.53,0.2,1,0.23
0.98,0.94,0.97,0.9,0.95,0.23,1
