days.to.flower,viable.pollen.grains,nonviable.pollen.grains,fraction.viable.pollen,total.pollen.grains
0.49,-0.73,-0.38,-0.5,-0.68
-0.73,0.49,0.23,0.69,0.72
-0.38,0.23,0.84,-0.29,0.84
-0.5,0.69,-0.29,0.39,0.17
-0.68,0.72,0.84,0.17,0.73
