days.to.emerge,days.to.flower,seed.size,number.of.leaves,length.of.longest.leaf,relative.change.in.leaf.length,relative.change.in.leaf.width
1,0.098,0.259,-0.252,-0.34,0.044,0.16
0.098,1,-0.114,0.013,0.015,-0.275,0.197
0.259,-0.114,1,0.196,0.02,-0.066,0.047
-0.252,0.013,0.196,1,0.082,-0.476,0.064
-0.34,0.015,0.02,0.082,1,0.061,-0.442
0.044,-0.275,-0.066,-0.476,0.061,1,0.075
0.16,0.197,0.047,0.064,-0.442,0.075,1
