flowernumber,corolladiameter,pistillength,antherlength,antherwidth
1,0.01,-0.03,0.04,-0.08
0.01,1,0.37,0.33,0.16
-0.03,0.37,1,0.34,0.16
0.04,0.33,0.34,1,0.27
-0.08,0.16,0.16,0.27,1
