tarsuslength,winglength,billdepth,billlength,bodymass
1,0.266,0.478,-0.155,0.221
0.266,1,0.018,0.055,-0.134
0.478,0.018,1,0.189,-0.021
-0.155,0.055,0.189,1,-0.982
0.221,-0.134,-0.021,-0.982,1
