flowernumber,corolladiameter,pistillength,antherlength,antherwidth
1,0.13,0.24,0.11,0.13
0.13,1,0.44,0.26,0.3
0.24,0.44,1,0.23,0.27
0.11,0.26,0.23,1,-0.04
0.13,0.3,0.27,-0.04,1
