weight.age.2,weight.age.3,maturity.male,maturity.female,sea.weight.age.2,sea.maturity.male
1,0.82,0.16,0.31,0.61,0.09
0.82,1,0.12,0.41,0.38,0.11
0.16,0.12,1,0.7,0.12,0.96
0.31,0.41,0.7,1,0.37,0.88
0.61,0.38,0.12,0.37,1,0.04
0.09,0.11,0.96,0.88,0.04,1
