days.to.emerge,days.to.flower,seed.size,number.of.leaves,length.of.longest.leaf,relative.change.in.leaf.length,relative.change.in.leaf.width
1,0.095,0.225,-0.112,-0.322,0.018,0.297
0.095,1,-0.04,-0.036,0.026,0.093,-0.071
0.225,-0.04,1,0.021,0.119,-0.085,0.093
-0.112,-0.036,0.021,1,0.258,-0.59,-0.182
-0.322,0.026,0.119,0.258,1,-0.063,-0.473
0.018,0.093,-0.085,-0.59,-0.063,1,0.006
0.297,-0.071,0.093,-0.182,-0.473,0.006,1
