no.orange.spots.in.sector.1,no.orange.spots.in.sector.2,no.orange.spots.in.sector.3,no.black.spots.in.sector.3
1,-0.51,0.45,-0.34
-0.51,1,-0.27,0.37
0.45,-0.27,1,0.24
-0.34,0.37,0.24,1
