chlorophyll.concentration,Rosette.size,specific.leaf.area,light-saturated.photosynthetic.rate,Stomatal.conductance,water.use.efficiency
1,-0.388,-0.311,0.623,0.079,0.528
-0.388,1,-0.361,-0.556,-0.173,-0.094
-0.311,-0.361,1,-0.854,-0.532,-0.136
0.623,-0.556,-0.854,1,0.563,0.243
0.079,-0.173,-0.532,0.563,1,-0.634
0.528,-0.094,-0.136,0.243,-0.634,1
