Z.Z.5.9.C25.2,Z.9.C25.1,X2.ME.C26,Z.Z.5.9.C27.2,X2.ME.C28,X2.ME.C30
1,0.271662452,0.106948158,0.750297724,0.323941772,0.60329975
0.271662452,1,-0.282236903,0.70876457,-0.426680321,-6.447395983
0.106948158,-0.282236903,1,-0.036539205,0.96511004,0.693260173
0.750297724,0.70876457,-0.036539205,1,0.037976996,0.102018707
0.323941772,-0.426680321,0.96511004,0.037976996,1,0.86464735
0.60329975,-6.447395983,0.693260173,0.102018707,0.86464735,1
