fruits,branches,height,branch.length,branch.angle,silique.length
1,0.94,-0.55,-0.07,-0.59,-0.39
0.94,1,-0.32,-0.3,-0.35,-0.32
-0.55,-0.32,1,0.74,0.65,0.8
-0.07,-0.3,0.74,1,0.43,0.47
-0.59,-0.35,0.65,0.43,1,0.8
-0.39,-0.32,0.8,0.47,0.8,1
