plant.height,plant.width,leaf.length,leaf.width,shoot.weight,root.weight,root.to.shoot.ratio
1,0.55,0.65,-0.4,0.61,0.48,-0.07
0.55,1,0.92,0.03,0.67,0.55,0.09
0.65,0.92,1,-0.04,0.59,0.47,0.13
-0.4,0.03,-0.04,1,-0.1,-0.02,0.09
0.61,0.67,0.59,-0.1,1,0.92,-0.12
0.48,0.55,0.47,-0.02,0.92,1,0.05
-0.07,0.09,0.13,0.09,-0.12,0.05,1
