bill.length,bill.width,bill.depth,tarsus.length,tail.length,primary.length,wing.length
1,0.185,0.373,0.137,-0.114,0.085,0.214
0.185,1,0.468,0.032,0.14,-0.101,0.183
0.373,0.468,1,0.158,0.273,0.229,0.225
0.137,0.032,0.158,1,0.067,0.421,0.348
-0.114,0.14,0.273,0.067,1,0.221,0.678
0.085,-0.101,0.229,0.421,0.221,1,0.404
0.214,0.183,0.225,0.348,0.678,0.404,1
