abdomen.length,thorax.length,hind-femur.length,mid-femur.length,fore-femur.width
1,0.7,0.46,0.44,0.71
0.7,1,0.98,0.88,0.71
0.46,0.98,1,1.02,0.51
0.44,0.88,1.02,1,0.4
0.71,0.71,0.51,0.4,1
