songduration,longchirpduartion,longchirppulseduration,shortchirppulseduration,shortchirptotalduration,shortchirpchirpduration,shortchirpchirpinterval,shortchirppulseduartion,shortchirppulseinterval
1,0.758,0.433,0.505,0.98,0.421,0.674,0.138,0.235
0.758,1,0.036,0.87,0.656,0.483,0.449,-0.039,0.484
0.433,0.036,1,-0.271,0.474,0.456,0.689,0.696,-0.431
0.505,0.87,-0.271,1,0.389,0.288,0.279,-0.067,0.709
0.98,0.656,0.474,0.389,1,0.402,0.657,0.195,0.177
0.421,0.483,0.456,0.288,0.402,1,0.415,0.502,0.168
0.674,0.449,0.689,0.279,0.657,0.415,1,0.427,0.182
0.138,-0.039,0.696,-0.067,0.195,0.502,0.427,1,-0.17
0.235,0.484,-0.431,0.709,0.177,0.168,0.182,-0.17,1
