means,beakwidth,beakdepth,beaklength,tarsuslength,winglength,taillength,1stprimarylength
0.54,7.56,6.03,1.61,0.58,0.56,3.59,2.92
0.39,6.03,14.8,1.92,0.99,-0.98,-4.26,-0.97
0.4,1.61,1.92,3.38,-1.19,0.21,0.55,0.48
0.58,0.58,0.99,-1.19,3.7,0.55,0.1,0.83
0.67,0.56,-0.98,0.21,0.55,3.22,1.99,4.19
0.44,3.59,-4.26,0.55,0.1,1.99,12.12,2.87
0.56,2.92,-0.97,0.48,0.83,4.19,2.87,3.46
