means,tarsuslength,winglength,billdepth,billlength,bodymass
19.62,0.205,-0.103,0.11,0.11,-0.015
80.8,-0.103,0.938,-0.062,0.035,-0.359
8.21,0.11,-0.062,0.017,-0.011,-0.045
13.69,0.11,0.035,-0.011,0.124,-0.025
31.9,-0.015,-0.359,-0.045,-0.025,0.912
