means,pulse.pair.rate,peak.amplitude,asynchrony.interval,attractiveness.index
90.41,104.37,-44.275,-538.55,-15.1
85.74,-44.275,132.96,784.865,28.11
666.38,-538.55,784.865,29290.96,21.61
252.75,-15.1,28.11,21.61,26.94
