means,femaleCV1,femaleCV2,femaleCV3,femaleCV4,maleCV1,maleCV2,maleCV3,maleCV4
0,41.982,7.817,4.131,-8.082,-2.596,-0.965,0.373,1.138
0,7.817,22.864,-0.905,-3.147,-3.076,-4.365,-3.19,1.194
0,4.131,-0.905,13.292,-5.142,4.987,-2.81,4.905,2.022
0,-8.082,-3.147,-5.142,12.039,-3.451,1.136,-1.034,2.623
0,-2.596,-3.076,4.987,-3.451,38.442,20.36,6.774,-11.597
0,-0.965,-4.365,-2.81,1.136,20.36,15.148,0.683,-5.86
0,0.373,-3.19,4.905,-1.034,6.774,0.683,6.72,-3.786
0,1.138,1.194,2.022,2.623,-11.597,-5.86,-3.786,9.161
